Name|Type|ActionType|Range(in feet)|Duration|CastingTime|RechargeValues(d6)|AttackAbilityMod|Description
Quick Guard|Fighting|Spell|10|1d4 Rounds|Action|6|--|For the duration yourself and allies within range of you cannot be targeted by Reaction attacks.
Revenge|Fighting|Melee Attack|Touch|Instant|Action|--|STR,CHA|Xd6 + mod damage, where X is 4 if you’ve been struck by an attack this round or 1 otherwise.
Reversal|Fighting|Spell|Touch|Instant|Reaction|5,6|--|After you been damaged by a Melee Attack, as long as you’re not knocked out, deal the same damage back to your attacker.
Rock Smash|Fighting|Spell|--|Instant|Bonus Action|4,5,6|--|Your next attack sends your opponent prone on hit; if it hits a prone opponent, it auto-crits; Also causes it to deal double damage to structures/walls/large rocks.
Rolling Kick|Fighting|Melee Attack|Touch|Instant|Action|4,5,6|STR,DEX|1d8 + mod damage; If your target has not yet acted this round (including Reactions) they must make a CON save or lose their turn this round.
Sacred Sword|Fighting|Melee Attack|Touch|Instant|Action|--|STR|The target’s AC is 10 for this attack; 1d10 + mod damage.
Seismic Toss|Fighting|Melee Attack|Touch|Instant|Action|--|STR,CON|Xd6 + mod damage; where X is half your Trainer Class Level (at least 1).
Sky Uppercut|Fighting|Spell|--|Instant|Bonus Action|4,5,6|--|Your next Melee Attack Action gets advantage on Flying Type Pokemon, and you cannot be targeted by Ground Type moves until the beginning of your next turn.
Storm Throw|Fighting|Melee Attack|Touch|1d4 Rounds|Action|5,6|STR,DEX|1d6 + mod damage; If you hit with this attack your target is grappeled. As a Bonus Action you can throw your target 15 ft; if it collides with another creature it creates a Thunderwave attack at that spot.
Submission|Fighting|Spell|--|Instant|Bonus Action|4,5,6|--|Your next Melee Attack Action (on hit) causes your target to make a STR save or have disadvantage on their next Attack Action, if they succeed you take half the damage dealt in the attack.
Superpower|Fighting|Melee Attack|Touch|Instant|Action|6|STR,CON|Xd8 + mod damage, where X is double your prof bonus; You gain 1 point of exhaustion when you make this attack.
Triple Kick|Fighting|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d6 + mod damage; if the attack hits you can make an additional attack (up to 3 total attacks).
Vacuum Wave|Fighting|Spell|--|Instant|Reaction|5,6|--|On incoming Ranged Attack make a DEX save; if succeeded the attack fails; if failed the attack proceeds as usual.
Vital Throw|Fighting|Spell|--|Instant|Bonus Action|5,6|--|Declare and Hold your Action until the end of initiative but you guarantee that it hits if the target is in range.
Wake-Up Slap|Fighting|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d10 + mod damage; auto-hits and deals double damage to Sleeping Pokemon, but wakes them up without need for a save.
Acid|Poison|Ranged Attack|10|10 Minutes|Action|--|STR,CON|1d6 + mod damage; Target must make a DEX save or lose 1 AC for 10 minutes.
Acid Armor|--|Trait|--|--|--|--|--|Instead of learning this move you gain the Pokemon Level Up Traitt ‘Acid Armor’. Gain +3 AC vs Poisoned targets.
Acid Spray|Poison|Spell|15|Instant|Action|5,6|--|Spray a 15 ft cone of acid; Targets in this area must make a DEX save or take Xd4, where X is double your prof bonus, and suffer disadvantage on their next saving throw; successful saves take half damage.
Belch|Poison|Spell|Touch|Instant|Action|4,5,6|--|When you learn Belch, you also learn Gastro Acid; Attempt to consume your target, they must make a STR save or be Consumed; Consumed Pokemon are Blind, have disadvantage on all attacks, cannot be targeted by attacks, and take 1d12 damage at the start of each turn; While you have a Pokemon Consumed your movement is halved and you have disadvantage on DEX saves. A consumed target can repeat the save as an Action to escape.
Clear Smog|Poison|Spell|15|Instant|Action|5,6|--|Clear up any Spore or Weather effects within range of you; You are healed X times Xd10 + X, where X the number of effects you cleared up.
Coil|Poison|Spell|--|Instant|Bonus Action|5,6|--|See the d&d Hide Action; You can use your Reaction, for the next round, to attack anyone that enters your reach; Gain advantage on your next melee attack action while you are Coil'd.
Cross Poison|Poison|Melee Attack|Touch|1 Minutes|Action|--|STR,DEX|1d10 + mod damage; Target must make a CON save or be Poisoned; this attack crits on 19 or 20;
Gastro Acid|Poison|Ranged Attack|20/60|Instant|Action|--|DEX,CON|When you learn this move you also learn Belch. When you have a Consumed Pokemon, you can eject them at a target using the following attack; on hit, both opponents take Xd8 damage, where X is your prof bonus; if you miss the ejected opponent, you and the ejected target each take half this damage.
Gunk Shot|Poison|Spell|60|1 Minutes|Action|6|--|Choose a 10 ft area within range, all creatures within that area must make a DEX save or take Xd6 damage, where X is your prof bonus + 2, and are Poisoned; on a successful save targets take half damage and are not Poisoned.
Poison Fang|Poison|Melee Attack|Touch|1 Minutes|Action|--|STR,DEX|1d6 + mod damage; target must make a CON save or be Poisoned, if the target has not acted in combat they auto-fail this save.
Poison Gas|Poison|Spell|Touch|10 Minutes|Action|4,5,6|--|Lay a poisonous trap on the square you currently occupy; The next time someone moves into that square they are Poisoned; if they were already Poisoned they are now Badly Poisoned.
Poison Jab|Poison|Melee Attack|Touch|1 Minutes|Action|--|STR,CON|1d8 + mod damage and the target must make a DEX save or be Poisoned.
Poison Powder|Poison|Spell|Touch|1 Minutes|Bonus Action|5,6|--|Release a cloud of poisonous spores, all adjacent targets of your choosing must make a CON save or be Poisoned.
Poison Sting|Poison|Melee Attack|Touch|Instant|Action|--|STR,CON|1d4 + mod damage and the target must make a CON save or be Poisoned.
Poison Tail|Poison|Melee Attack|Touch|Instant|Bonus Action|--|STR,CON|If hits target falls prone; if the target is Poisoned this move hits regardless.
Sludge|--|Trait|--|--|--|--|--|Instead of learning this move gain the Pokemon Level Up Trait ‘Corrosion’. Whenever you are struck with a melee attack, you release poisonous gas and the attacker must make a con save or be Poisoned (this poison affects Steel and Poison types).
Sludge Bomb|Poison|Ranged Attack|60/180|1 Minutes|Action|--|DEX,WIS|1d12 + mod damage; Creatures within 5 ft of your target must make a DEX save or be Poisoned; Gain an additional projectile at lvls 8, 14, and 20.
Sludge Wave|Poison|Spell|30|1 Minutes|Action|5,6|--|Shoot sludge in a 30 ft cone; Targets in this zone must make a CON save or take Xd6 damage, where X is your prof bonus, and be Poisoned (if they if they're Poisoned, Badly Poisoned); half damage on successful save and no Poison.
Smog|Poison|Spell|Touch|1 Minutes|Action|5,6|INT,WIS|All adjacent creatures must make a DEX save or take 1d6 + mod damage and be Poisoned.
Toxic|Poison|Spell|30|1 Minutes|Action|5,6|--|Choose a target within range to make a CON save or be Badly Poisoned.
Toxic Spikes|Poison|Spell|60|10 Minutes|Action|5,6|--|Choose a 20 ft area within range to spread Toxic Spikes over; When a creature starts their turn on Toxic Spikes they must make a DEX save or are Poisoned; Pokemon that are sent out from their Pokeball onto Toxic Spikes immediately are Poisoned for 1 Minute.
Venom Drench|Poison|Spell|30|1d4+1 Rounds|Action|5,6|--|You cover everywhere around you in a 30 ft radius in a thick, venomous liquid; Any Poisoned creatures in that zone are weak to Poison Type attacks, and have their movement speed halved, for the duration.
Venoshock|Poison|Ranged Attack|60/180|Instant|Action|--|DEX,WIS|1d8 + mod damage; If the target is Poisoned this attack deals double damage.
Bone Club|Ground|Melee Attack|Touch|Instant|Action|--|STR,CON|1d8 + mod damage, if this attack crits the target loses their next turn.
Bone Rush|Ground|Spell|--|1d4+1 Rounds|Action|OPSR|--|Gain Haste for the duration; Any Melee Attacks made during your haste crit on 19 or 20.
Bonemerang|Ground|Ranged Attack|60/180|Instant|Action|--|DEX,CHA|1d6 + mod damage; target must make a DEX save or take an additional 1d6 + mod damage.
Bulldoze|Ground|Spell|--|Instant|Bonus Action|6|--|Your next Melee Attack Action partially buries your target (if on earthen ground, knocking them prone otherWISe); buried opponents must use their full movement and Bonus Action to un-bury themselves, cannot move, and have disadvantage on Melee Attacks.
Dig|Ground|Ranged Attack|20/60|1 Rounds|Action|4,5,6|DEX,WIS|1st turn, choose a target and dig underground (most moves cannot hit you here at the discretion of the DM); 2nd turn, if your target has not moved this will auto-hit, othwerise make an attack roll; 1d12 + mod damage; You end this attack adjacent to your target whether you hit or miss them.
Drill Run|Ground|Melee Attack|Touch|Instant|Action|--|STR,CON|1d10 + mod damage; this attack crits on 18-20; when you move before taking this Action, any attacks of opportunity have disadvantage.
Earth Power|Ground|Spell|--|1d4+2 Rounds|Action|6|--|For 1d4 + 2 rounds you gain the ability to shape/move 125 cu. ft. of stone/earth as a Bonus Action or 1000 cu. ft. as an Action.
Earthquake|Ground|Spell|15|Instant|Action|5,6|--|Any creatures within range of you must make a DEX save or take Xd10 damage, where X is double your prof bonus, and if they weigh <= 100 kg are thrown away from you 15 ft, if they weight > 100 kg they are knocked prone; successful saves take half damage and are not prone/knocked away.
Fissure|Ground|Trait,Melee Attack|Touch|Instant|Action|--|STR,CON|If the Pokemon is Ground Type instead of learning Fissure, gain the Pokemon Level Up Trait ‘Earth Bender’, otherwise empower your next Melee Attack Action with immense strength, at the cost of accuracy; Gain disadvantage on your next Melee Attack Action, but on hit deal deal 4x the damage dice value (stacks with crit).
Land’s Wrath|Ground|Spell|30|10 Minutes|Action|OPSR|--|All earth within range of you becomes baron of all vegetation and moisture for 1d4 Rounds; At the end of this duration the vegetation grows back tenfold entangling any creatures of your choice. The overgrown vegetation lasts for 10 minutes and creates difficult terrain. Entangled targets can make a STR save against DC 20.
Magnitude|Ground|Spell|15|Instant|Action|5,6|STR|Direct a 5 ft wide by 15 ft long shockwave away from you, causing targets in it’s path to make a DEX save or take Xd6 + mod damage, where X is the value of a d6; Half on successful save.
Mud Bomb|Ground|Ranged Attack|30/90|1 Rounds|Action|--|DEX,WIS|1d6 + mod damage; Creatures within 5 ft of your target must make a DEX save or be Blinded for the duration; Gain an additional projectile at lvls 8, 14, and 20.
Mud Shot|Ground|Spell|20|1 Rounds|Action|5,6|--|Spray mud in a line, forcing targets to make a DEX save or be Blinded and lose half their movement for the duration; successful saves only lose the movement.
Mud Sport|Ground|Spell|30|1d6+1 Rounds|Action|6|--|You cover everywhere around you within range in mud for the duration; Any creatures in that zone resist electric type attacks; Creatures that end their movement in this area must make a DEX save or fall prone.
Mud Slap|Ground|Ranged Attack|20/60|1 Rounds|Action|--|DEX,WIS|1d4 + mod damage; Target must make a DEX save or be Blinded.
Rototiller|Ground|Spell|15|1d4+1 Rounds|Action|6|--|Only usable on dirt ground; Instantly till the ground within range of you; this area and anywhere you move for the duration are considered Tilled Ground; Tilled Ground - Ground and Grass Pokemon have their movement speed doubled when traveling through Tilled Ground; Grass Pokemon have advantage on Attack Actions while on Tilled Ground. 
Sand Attack|Ground|Ranged Attack|20/60|1d4+2 Rounds|Action|--|DEX,INT|On hit the target cannot apply its prof bonus to its actions for 1d4 + 2 turns.
Sand Tomb|Ground|Spell|60|1d4 Rounds|Action|5,6|--|Choose a target within range to make a DEX save or have 0 move speed for duration and take 1d4 damage at the start of each turn until they move.
Spikes|Ground|Spell|60|1 Minutes|Action|5,6|--|Choose a 20 ft area within range to spread Spikes over; When a creature starts their turn on Spikes they must make a DEX save or take Xd6, where X is 5 times the number of layers of Spikes on that square; half on successful save; Pokemon that are sent out from their Pokeball onto Spikes immediately take damage from them.
Acrobatics|Flying|Spell|--|1d6 Rounds|Bonus Action|6|--|Your fly speed is doubled and you gain advantage on DEX saves and skill checks for the duration; if you don't have a fly speed you gain a fly speed of 15 feet.
Aerial Ace|Flying|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d6 + mod damage; you cannot have disadvantage on this attack.
Air Cutter|Flying|Ranged Attack|30/90|Instant|Action|--|DEX,CHA|1d8 + mod damage; this attack crits on 19 or 20
Air Slash|Flying|Ranged Attack|80/240|Instant|Action|--|DEX,CHA|1d8 + mod damage; this attack crits on 19 or 20; if you crit the opponent is knocked prone.
Bounce|Flying|Spell|--|1d6 Rounds|Bonus Action|6|--|For the durtaion you gain Flying Type; a fly speed equal to your walk speed; your next Melee Attack Action cause the target to make a CON save or be Paralyzed for 1 Minutes, the target can repeat this save at the end of their turn.
Brave Bird|Flying|Melee Attack|Touch|Instant|Action|--|STR,CON|2d12 + mod damage; but on hit you must make a DEX save (DC 15) or take 1/2 of the damage done.
Chatter|Flying|Spell|15|1 Minutes|Action|4,5,6|--|All enemies within range that can hear you must make a CHA save or take Xd6 damage, where X is your prof bonus and be Confused; affected creatures can repeat the save at the end of their turn.
Defog|Flying|Spell|10|Instant|Action|5,6|--|Clear up any Spore or Weather effects within range of you; You are cured of 1 Status effect per weather/spore effect cleared in this way.
Drill Peck|Flying|Melee Attack|Touch|Instant|Action|--|STR,DEX|The attack range of this is 5 more than your reach, and affects any foes between you and the target individually; 1d10 + mod damage; this attack crits on 19 or 20.
Feather Dance|Flying|Spell|--|Instant|Action|OPSR|--|Put yourself into a feather dancer’s stance resulting in the following effects: Advantage on DEX and CHA saves, any incoming Attack Action has disadvantage, and you do not resist any damage Types; Takes a Bonus Action to drop Feather Dance, and anytime you suffer from a status you must make a DC 12 CON save or drop Feather Dance.
Fly|Flying|Ranged Attack|30/90|1 Rounds|Action|4,5,6|STR,DEX|1st turn, choose a target and then fly high up in the sky (most attacks cannot hit you here at the discretion of the DM); 2nd turn, attack your target, if they haven’t moved since you flew up, you auto-hit, if they have moved you have disadvantage on this attack; 1d10 + mod damage; You end this attack adjacent to your target whether you hit or miss them.
Gust|Flying|Spell|10|Instant|Action|5,6|--|Buffet foes in a 10 ft cone with harsh winds; All targets within the cone must make a STR save or take Xd6 damage, where X is half your prof bonus (minimum 1), and be knocked prone; successful saves take half damage.
Hurricane|Flying|Spell|80|1d4+1 Rounds|Action|5,6|--|Choose a 30 ft area within range, in that area a great, windy storm begins and lasts for the duration. All targets in that zone must immediately make a STR saving throw or be knocked prone; Any non-Flying Type creature that starts their turn in that zone must re-make the save or be knocked prone; You deal an additional Xd8 damage, where X is your prof bonus, on Melee Attacks to targets within the storm.
Mirror Move|Flying|Spell|--|--|Action|4,5,6|--|Copy the last Melee or Ranged Attack Action used against you.
Peck|Flying|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d4 + mod damage, add your prof bonus to the damage of this attack if you are Flying Typed.
Pluck|Flying|Spell|60|Instant|Bonus Action|4,5,6|--|Choose a target within range, your next Melee Attack against that target causes them to make a STR save or be Grappled.
Roost|Flying|Spell|--|1d6 Rounds|Action|6|--|Restore Xd8 + X hp, where X is your prof bonus,  but replace your Flying Type with Normal Type for 1d6 rounds.
Sky Attack|Flying|Melee Attack|Touch|Instant|Action|--|STR,CON|1d12 + X + mod damage; where X is your trainer class level and knock them prone; If you hit with the attack make a DC 12 CON saving throw or forfeit your next action.
Sky Drop|--|Trait|--|--|--|--|--|Instead of learning this move you gain the Pokemon Level Up Trait ‘Strong Claws’. Gain advantage on any attempts to grapple, and once a grappled your target can only break free on a natural 20 attempt or if you roll less than 10. 
Tailwind|Flying|Spell|30|1 Rounds|Action|OPSR|--|Double yours and up to three allies within range movement speed for the duration.
Wing Attack|Flying|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d6 + mod damage; if you don’t move this turn you can make another Wing Attack.
Agility|--|Trait|--|--|--|--|--|Instead of learning this move you gain the Pokemon Level Up Trait ‘Displacer’. You project a magical illusion that makes it seems like you are standing in a position near you, causing attack rolls against you to have disadvantage, if you are hit with an attack you lose this effect until the end of your next turn; Being incapacitated or having a speed of 0 also deadens this effect.
Ally Switch|Psychic|Spell|120|Instant|Action|6|--|You and a willing ally that you can see within range instantly switch places.
Amnesia|Psychic|Spell|--|1d4+1 Rounds|Bonus Action|4,5,6|--|For the duration your WIS is 20 (unless it would normally be higher), and you are now Confused. You can save against the Confusion at the end of your turn.
Barrier|Psychic|Spell|--|Instant|Reaction|6|--|On incoming spell or attack you can create a psychic barrier around you, allowing you to reroll a saving throw or incur disadvantage on an attack.
Calm Mind|Psychic|Spell|--|1 Minutes|Bonus Action|5,6|--|Meditate for one round, if you are uninterrupted by the start of your next turn gain advantage on saving throws and INT/WIS skill checks for 1 minute.
Confusion|Psychic|Spell|30|1 Minutes|Action|4,5,6|--|Cast a ray of Confusion along a line from your position, targets in this area must make a WIS saving throw or be Confused and Simplified. Targets can make a save against one of these status' at the end of their turn.
Cosmic Power|Psychic|Spell|--|Instant|Bonus Action|5,6|--|Gain a valor bardic inspiration dice from an other-worldly being. This dice increases with your level (1 - d6, 5 - d8, 10 - d10, 15 - d12).
Dream Eater|Psychic|Spell|Touch|Instant|Action|5,6|--|Choose an adjacent target to make a WIS save or take Xd8 damage, where X is your prof bonus, and your are healed for at most 10 hp (or the damage if < 10); Sleeping targets automatically fail the save and you are healed for all the damage dealt. 
Extrasensory|Psychic|Spell|60|1 Minutes|Action|5,6|--|Choose a target within range to make a WIS save or take 1d10 damage and have one of the following effects applied to it; roll 1d4; on 1 the target is Confused, on 2 the target is Simplified, on 3 the target is Charmed, on 4 nothing further happens.
Future Sight|Psychic|Spell|60|2 Rounds|Action|5,6|--|Wink at a target of your choosing, if that target can see you they must make a CHA save or be Feared for 1 Minutes (save ends); At the start of your turn in two rounds, if that target is in play still, it takes Xd8 damage, where X is your prof bonus.
Gravity|Psychic|Room Spell|200|--|Action|6|--|Greatly increase gravity, ground Flying Types or those with the Levitate Trait, and preventing the Fly and Bounce moves; This effect goes away if another Room Spell is used or if this Pokemon leaves combat.
Guard Split|Psychic|Spell|--|Instant|Reaction|5,6|--|On incoming attack action you can use your attackers AC instead of your own; if they beat your AC but not their own AC, you don’t take damage and they take half of what they would have dealt to you.
Guard Swap|Psychic|Spell|--|Instant|Reaction|5,6|--|When you make an Attack Action against a target, you can use your Reaction to roll the attack against your own AC; if you hit the target with the adjusted AC you take 1d10 damage.
Heal Block|--|Trait|--|--|--|--|--|Instead of learning this move you gain the Pokemon Level Up Trait ‘Heal Block’. This Pokemon can use their Reaction to try to stop an opponent’s healing action. The target must make a CON save or their heal action fails and they are Confused. You can use the feature X times per Short Rest, where X is your prof bonus.
Heal Pulse|Psychic|Spell|10|Instant|Action|5,6|--|Emit a healing (fart) pulse; Any allies within range of you are healed Xd6 + X, where X is your prof bonus.
Healing Wish|Psychic|Spell|60|1 Rounds|Action|6|--|Choose an ally within range (can be yourself), spend the rest of your turn concentrating, on your next turn that ally regains all their missing hp; if you are knocked out while concentrating roll 1d20, on an 11 or higher the next allied Pokemon sent out is healed to full hp.
Heart Stamp|Psychic|Melee Attack|Touch|Instant|Action|--|STR,CHA|1d8 + mod damage and they have disadvantage on their next save; this does not count as an attack against a Charmed target.
Hypnosis|Psychic|Spell|30|1 Minutes|Action|5,6|--|Choose a target within range to make CON save or be put to sleep; target can repeat this save at the end of their turn.
Imprison|Psychic|Room Spell|200|--|Action|6|--|No Pokemon can use moves that another Pokemon in play knows; This effect goes away if another Room Spell is used or if this Pokemon leaves combat.
Kinesis|Psychic|Spell|30|1 Minutes|Action|--|--|D&D 5e's Minor Illusion.
Light Screen|Psychic|Spell|20|1 Minutes|Action|5,6|INT,CHA|Create a 15 ft wall of light at a location within range; the wall has Xd4 + mod hit points (where X is your prof bonus) and lasts until for the duration or until it is destroyed; enemy Spells that pass through this wall deal half damage to their targets and half damage to the wall.
Lunar Dance|Psychic|Spell|--|Instant|Action|OPSR|--|Put yourself into a moon dancer’s stance resulting in the following effects.: Advantage on INT and WIS saves, gain advantage on all Ranged Attack Actions, if you are knocked out you fully heal the replacing Pokemon, and you cannot move unless you have LOS on the moon; Takes a Bonus Action to drop Lunar Dance, and anytime you suffer from a status you must make a DC 12 CON save or drop Lunar Dance.
Luster Purge|Psychic|Ranged Attack|20/60|Instant|Action|--|DEX,INT|1d10 + mod damage; On hit target has disadvantage on their next save.
Magic Coat|Psychic|Spell|--|Instant|Reaction|5,6|--|When another creature affects you with a Status, you can use your Reaction to affect that creature with the same Status.
Magic Room|Psychic|Room Spell|200|--|Action|6|--|No items can be used while this room is in effect; This effect goes away if another Room Spell is used or if this Pokemon leaves combat.
Meditate|Psychic|Spell|--|Instant|Bonus Action|5,6|--|Go into a meditative stance, losing your movement speed but gain advantage on attack rolls and saving throws; Use a Bonus Action to leave this stance.
Miracle Eye|Psychic|Spell|30|1 Minutes|Action|5,6|--|Choose a target within range to make a WIS save or lose any pending advantage rolls they had and lose any Type immunity they had for the duration (ie. Flying types wouldn’t be immune to Ground). 
Mirror Coat|Psychic|Spell|--|Instant|Reaction|5,6|--|On incoming Spell, after taking any damage/affects you can reflect back the Spell (they make any necessary saves); on-hit deal double the damage you took from the original spell.
Mist Ball|Psychic|Ranged Attack|30/90|Instant|Action|--|DEX,INT|1d10 + mod damage; On hit target cannot apply their prof bonus to their next spell DC or attack roll.
Power Split|Psychic|Spell|--|Instant|Reaction|5,6|--|On incoming attack action you force the attacker to use your relevant stat mod on their attack; if this cause their move to miss, you don’t take damage and they take half of what they would have dealt to you.
Power Swap|Psychic|Spell|--|Instant|Reaction|5,6|--|When you make an Attack Action against a target, you can use your Reaction to use your target's relevant stat mod; if you hit the target with this attack you deal 1d4 less damage.
Power Trick|Psychic|Spell|--|1d4+2 Rounds|Action|6|--|Choose two of your stats to swap for the duration.
Psybeam|Psychic|Ranged Attack|30/90|1 Minutes|Action|--|DEX,INT|1d8 + mod damage; On hit target must make a WIS save or be Confused; target can repeat this save at the end of their turn.
Psychic|Psychic|Spell|30|1 Minutes|Action|6|--|Strike out in a 30 ft cone with great psychic force; Targets in this zone must WIS save or take Xd8 damage, where X is double your prof bonus, and are Confused; half damage on successful save; Targets who critically fail this save have their INT stat lowered by 10 (at lowest 0), Targets with 0 INT cannot act, and remain this way until they’ve had a long rest or have been restored in some way.
Psycho Cut|Psychic|Melee Attack|Touch|Instant|Action|--|STR,INT|1d8 + mod damage; you have an additional 5 ft reach for this attack; this attack crits on 19 or 20.
Psycho Shift|Psychic|Spell|20|Instant|Action|6|--|Choose a target to make a WIS save or any Status effects that you are currently suffering from are transferred to them.
Psyshock|Psychic|Ranged Attack|80/240|Instant|Action|--|INT,CHA|1d10 + mod damage.
Psystrike|Psychic|Melee Attack|Touch|Instant|Action|--|INT,CHA|1d12 + mod damage.
Psywave|Psychic|Ranged Attack|20/60|Instant|Action|--|INT,WIS|roll Xd4, where X is your Trainer Class level; then roll 1d10; target takes the d10 % of the combined d6 values as damage, at least 1.
Reflect|Psychic|Spell|20|1 Minutes|Action|5,6|INT,CHA|Create a 15 ft wall of light at a location within range; the wall has Xd4 + mod hit points (where X is your prof bonus) and lasts until for the duration or until it is destroyed; enemy Melee and Ranged Attacks that pass through this wall deal half damage to their targets and half damage to the wall.
Rest|Psychic|Spell|--|2 Rounds|Action|5,6|--|Immediately put yourself to Sleep for the duration and heal yourself to full hp.
Role Play|Psychic|Spell|60|Instant|Action|--|--|Choose a target to make a CHA save; on failure you must roll to randomly gain 1 of their Pokemon Level Up Traits permanently (even if you don’t have the pre-reqs or necessary typing), and you lose this move. 
Skill Swap|--|Trait|--|--|--|--|--|Instead of learning this move, gain the Pokemon Level Up Trait ‘Copy Pasta’. This Pokemon can use a Spell Actions of any of its allies in combat up to 4 times per Long Rest.
Stored Power|--|Trait|--|--|--|--|--|Instead of learning this move, gain the Pokemon Level Up Trait ‘Mind Storm’. When this Pokemon is called into battle, adjacent enemy Pokemon take Xd4 + X Psychic damage, where X is your prof bonus.
Synchronoise|Psychic|Spell|20|Instant|Action|5,6|--|Any creature within range that shares a Type with you must make a WIS save or take Xd6, where X is double your prof bonus; half damage on successful saves.
Telekinesis|Psychic|Spell|30|1d4+1 Rounds|Action|5,6|--|Target a creature to make a WIS save or be lifted into the air 10 ft for the duration; affected creatures can repeate the save at the end of their turn; The lifted creature cannot move or melee attack and has disadvantage on ranged attacks and saving throws but is immune to Ground Type attacks, attacks against the lifted creature have advantage.
Teleport|Psychic|Spell|--|Instant|Bonus Action|4,5,6|--|Causes any movement this turn to be done instantly, not triggering attacks of opportunity.
Trick|--|Trait|--|--|--|--|--|Instead of learning this move, gain the Pokemon Level Up Trait ‘Trickster’. X times per short rest, where X is your prof bonus, you can use your Reaction to intervene when a Trainer is going to use an item on a Pokemon within 10 ft of you; make a deception/persuasion check against the trainer’s perception/investigation, if you beat them they use the item on you instead.
Trick Room|Psychic|Room Spell|200|--|Action|6|--|The initiative order is reversed; This effect goes away if another Room move is used or if this Pokemon leaves combat.
Wonder Room|Psychic|Room Spell|200|--|Action|6|--|All targets that you can see must make a INT save or, while this room is present, their CON and WIS stats are swapped; This effect goes away if another Room move is used or if this Pokemon leaves combat.
Zen Headbutt|Psychic|Melee Attack|Touch|1 Rounds|Action|--|STR,INT|1d8 + mod damage; if it hits, target must make a STR saving throw or lose it’s movement for the duration.
Attack Order|Bug|Spell|60|1d6+2 Rounds|Bonus Action|5,6|--|When you learn Attack Order, you also learn Defend Order and Heal Order; Call out to your allies for attack; allies within range that can hear you crit on 19 or 20 for 1d6 + 2 rounds. This effect is cancelled early if you use another Order move, or if you leave play.
Bug Bite|Bug|Melee Attack|Touch|1d4 Rounds|Action|--|STR,DEX|1d8 + mod damage; If the target was not weak to Bug moves already, it is now for 1d4 rounds.
Bug Buzz|Bug|Spell|15|1 Minutes|Action|5,6|--|Create a wave of sound in a 15 ft cone; targets in this zone must make a CHA save or be Feared and take Xd8 damage, where X is your prof bonus; half damage on successful save.
Defend Order|Bug|Spell|60|1d6+2 Rounds|Bonus Action|5,6|--|When you learn Defend Order, you also learn Attack Order and Heal Order; Call out to your allies for defense; allies within range that can hear gain +1 AC for 1d6 + 2 rounds. This effect is cancelled early if you use another Order move, or if you leave play.
Fell Stinger|--|Trait|--|--|--|--|--|Instead of learning this move, gain the Pokemon Level Up Trait ‘Moxie’. Gain one bardic inspiration die when you KO a pokemon and gain advantage on your next attack action. This dice increases with your level (1 - d6, 5 - d8, 10 - d10, 15 - d12).
Fury Cutter|Bug|Melee Attack|Touch|Instant|Action|--|STR,DEX|Xd6 + mod damage, where X is the number of consecutive rounds this action has hit it’s target.
Heal Order|Bug|Spell|60|1d6+2 Rounds|Bonus Action|5,6|--|When you learn Heal Order, you also learn Defend Order and Attack Order; Call out to your allies for attack; allies within range that can hear you heal Xd4, where X is your prof bonus, hp at the start of their turn for 1d6 + 2 rounds. This effect is cancelled early if you use another Order move, or if you leave play.
Infestation|Bug|Spell|--|Instant|Action|4,5,6|--|Lay an infestation trap on the square you currently occupy; The next time an enemy creature moves into that square they are Feared and take Xd6 damage, where X is double your prof bonus.
Leech Life|Bug|Spell|--|Instant|Bonus Action|4,5,6|--|You must make your next attack roll with disadvantage but if you hit, gain half the damage dealt as hp (not exceeding your max hp).
Megahorn|Bug|Melee Attack|Touch|Instant|Action|--|STR,CON|1d12 + mod damage; On hit the target must make a DEX save or be Impaled; Impaled creatures are considered Grappled, but at the start of each turn they take Xd4 damage, where X is the Impaler's prof bonus; The Impaler also has advantage on Melee Attacks against the impaled.
Pin Missile|Bug|Ranged Attack|60/180|3 Rounds|Action|--|DEX|Make 1d4 + 1 of the following attacks; 1d4 + mod damage; if all the attempted missiles hit against the same target, that creature takes an additional Xd6 damage, where X is your prof bonus, and has their movement speed halved for the duration.
Powder|Bug|Spell|Touch|3 Rounds|Bonus Action|5,6|--|Release a cloud of fire-retardant spores, all adjacent targets are covered in these spores for the duration or until they take Fire damage; Fire Type attacks they make for the duration fizzle and they must make a CON save or take Xd8 damage, where X is your prof bonus; Powder-covered creatures resist the next incoming Fire Type damage.
Quiver Dance|Bug|Spell|--|Instant|Action|OPSR|--|Put yourself into a insect dancer’s stance resulting in the following effects: Advantage on WIS and DEX saves, gain +1 to all your Spell Action DCs, gain +10 ft of movement, and are unable to make Melee Attack Actions; Takes a Bonus Action to drop Quiver Dance, and anytime you suffer from a status you must make a DC 12 CON save or drop Quiver Dance.
Rage Powder|Bug|Spell|Touch|1 Minutes|Bonus Action|5,6|--|Release a cloud of red spores, all adjacent targets of your choosing must make a CON save or be Simplified; affected targets can repeat the save at the end of their turn.
